Codigo,Localidad,ActividadEconomica,Year,PorcUso
4,"SAN CRISTÓBAL","OFICINAS",2010,0.016834576
4,"SAN CRISTÓBAL","OTROS",2010,0.017567728
4,"SAN CRISTÓBAL","RESIDENCIAL",2010,0.881862293
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2010,0.032396068
4,"SAN CRISTÓBAL","BODEGAS",2011,0.018531848
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.010203688
4,"SAN CRISTÓBAL","COMERCIO",2011,0.017406090
4,"SAN CRISTÓBAL","HOTELES",2011,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2011,0.001904809
4,"SAN CRISTÓBAL","LOTES",2011,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2011,0.018663525
4,"SAN CRISTÓBAL","OTROS",2011,0.019608935
4,"SAN CRISTÓBAL","RESIDENCIAL",2011,0.883188663
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2011,0.030492442
4,"SAN CRISTÓBAL","BODEGAS",2012,0.018450329
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.008826340
4,"SAN CRISTÓBAL","COMERCIO",2012,0.017014155
4,"SAN CRISTÓBAL","HOTELES",2012,0.000000000
4,"SAN CRISTÓBAL","INDUSTRIA",2012,0.001302468
4,"SAN CRISTÓBAL","LOTES",2012,0.000000000
4,"SAN CRISTÓBAL","OFICINAS",2012,0.021979880
4,"SAN CRISTÓBAL","OTROS",2012,0.020407035
4,"SAN CRISTÓBAL","RESIDENCIAL",2012,0.882652355
4,"SAN CRISTÓBAL","UNIVERSIDADES Y COLEGIOS",2012,0.029367439
4,"SAN CRISTÓBAL","BODEGAS",2013,0.017765543
4,"SAN CRISTÓBAL","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.008676816
4,"SAN CRISTÓBAL","COMERCIO",2013,0.016743203
